,name,gender,frequency
155,NAZAR,M,0.00028197969114259543
156,SIARHEI,M,0.0002818652048692935
157,OLIVIER,M,0.0002805371640989914
178,YELYZAVETA,F,0.0002771712676639154
179,ANDŻELIKA,F,0.00027057685832172556
158,DZMITRY,M,0.00026924881755142346
159,VALERII,M,0.0002678749822718006
160,STANISLAV,M,0.00026547077053246055
161,ERNEST,M,0.000259311409028818
180,ARLETA,F,0.00025775439571191204
181,TATIANA,F,0.00025766280669327053
182,MIA,F,0.0002575025259106479
183,KHRYSTYNA,F,0.00025704458081744026
184,LUIZA,F,0.00025480064986072287
162,ALFRED,M,0.000253907656928968
163,JOACHIM,M,0.0002531520475251754
164,ALEX,M,0.0002515950342082695
165,DANYLO,M,0.0002481604460092123
166,TARAS,M,0.00024733614484143856
185,VICTORIA,F,0.00024335202253053222
167,LUDWIK,M,0.00024035248217002227
186,IVANNA,F,0.000236551537896399
168,MARK,M,0.00023591041476590831
169,LESŁAW,M,0.00023542957241804032
170,JĘDRZEJ,M,0.00023352910028122867
171,BOGUMIŁ,M,0.00023259031284015303
187,MARIANA,F,0.00023048376541139794
172,KOSTIANTYN,M,0.00022608749251660474
188,JUDYTA,F,0.000224782349000963
189,NICOLE,F,0.0002227215960815287
173,GERARD,M,0.00022182860314977384
174,FELIKS,M,0.0002216225278578304
190,LIWIA,F,0.0002205005623794717
191,ADELA,F,0.00021974495297567913
175,VIACHESLAV,M,0.00021924121337315076
176,LEONARD,M,0.00021331082441611199
192,VIRA,F,0.0002132879271614516
194,YEVHENIIA,F,0.00020870847622937535
193,NICOLA,F,0.00020870847622937535
195,NATASZA,F,0.0002065561342912995
196,FRANCISZKA,F,0.0002048388401917709
177,JULIUSZ,M,0.00020147294375669488
197,JOWITA,F,0.00020103789591814763
198,ANHELINA,F,0.00019730564340850548
199,VANESSA,F,0.00019673321204199596
178,DENIS,M,0.00019588601361956185
179,ALEKS,M,0.00019197058307263663
200,MELANIA,F,0.00019011590544514576
180,OLIVER,M,0.0001895663713332966
181,TEODOR,M,0.00018952057682397583
201,DARYNA,F,0.00018858178938290022
202,APOLONIA,F,0.00018702477606599428
203,ELENA,F,0.00018642944744482438
182,NIKITA,M,0.00018640655019016398
183,KYRYLO,M,0.0001834528043389748
204,ALFREDA,F,0.0001830864482644087
205,INGA,F,0.00018285747571780488
184,DORIAN,M,0.00018143784592886125
185,MILAN,M,0.00018045326397846486
206,JESSICA,F,0.00017857568909631358
207,ROMANA,F,0.00017823223027640787
186,PAVEL,M,0.0001780490522391248
208,MARHARYTA,F,0.00017715605930736995
187,KLAUDIUSZ,M,0.00017678970323280386
188,DANIIL,M,0.00017674390872348308
209,ADA,F,0.00017658362794086043
210,LESIA,F,0.0001753929706985206
189,MYKYTA,M,0.00017388175189093544
190,YEHOR,M,0.0001733093205244259
211,MILANA,F,0.0001731719369964636
212,BIANKA,F,0.00017246212210199178
191,MARTIN,M,0.00017234763582868988
192,NATANIEL,M,0.00016863828057370813
193,MATVII,M,0.00016863828057370813
213,ESTERA,F,0.00016824902724448164
194,MAKSIM,M,0.000167310239803406
195,OLEG,M,0.00016692098647417953
214,MARZENNA,F,0.00016689808921951913
215,SOFIA,F,0.00016618827432504733
196,MICHAEL,M,0.0001658219182504812
216,ELEONORA,F,0.00016506630884668863
217,JULIANNA,F,0.00016435649395221683
197,ALOJZY,M,0.00016222704926880136
